scraped_county_name,orgName,address,phone,payDetail,strTeleconsultation,thisWeekCount,nextWeekCount,next2WeekCount,next3WeekCount,editDate,lat,lng
臺北市,臺北市立聯合醫院松德院區,臺北市信義區松德路309號,02-27263141轉1394,掛號費50元,是,0,0,0,0,2025/11/17,25.030479982975,121.574885035667
臺北市,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,02-27093600轉5546,掛號費50元,是,0,0,0,0,尚未更新,25.03754001811,121.545302281876
臺北市,臺北市立聯合醫院和平婦幼院區,臺北市中正區中華路二段33號,02-23889595轉8004、8001,掛號費50元,否,0,0,0,0,尚未更新,25.035591979993,121.506708982171
臺北市,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,03-3281200轉2439或2479,掛號費100元,否,0,0,0,0,2025/11/14,25.055483996428,121.549679982266
臺北市,臺北醫學大學附設醫院,臺北市信義區吳興街252號,02-27372181轉3661,掛號費200元,是,0,0,0,0,2025/11/14,25.026638011926,121.563637778891
臺北市,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,02-28332211,掛號費200元,否,0,0,0,0,尚未更新,25.096241000619,121.52028900642
臺北市,臺北市立關渡醫院─委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,02-28587140,掛號費150元,否,0,0,0,0,尚未更新,25.120187595077,121.466357829732
臺北市,振興醫療財團法人振興醫院,臺北市北投區振興街45號,02-28264400,掛號費230元,否,0,0,0,0,尚未更新,25.117542601711,121.522400491649
臺北市,臺北榮民總醫院,臺北市北投區石牌路二段201號,02-28712121,無,否,0,0,0,0,2025/11/14,25.119174600169,121.520530740507
臺北市,三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路60號,02-28959808轉603156,無,是,0,0,0,0,2025/11/14,25.139973789984,121.509680283028
臺北市,博仁綜合醫院,臺北市松山區光復北路66號,02-25702211,掛號費200元,否,0,0,0,0,2025/11/24,25.049903492932,121.557695093359
臺北市,西園醫療社團法人西園醫院,臺北市萬華區西園路二段270號,02-23076968轉1517,無,否,0,0,0,0,2025/11/14,25.027703980462,121.494434020247
臺北市,捷思身心醫學診所,臺北市大安區復興南路2段236號12樓之3,02-23221739,無,是,0,0,0,0,2025/11/14,25.025107015402,121.54309700315
臺北市,黃雅芬兒童心智診所,臺北市中山區南京西路5-1號12樓之1,0910-222280  (LINE官方帳號：@childpsy),無,是,0,0,0,0,2025/11/23,25.052611979215,121.521370020472
臺北市,振芝心身醫學診所,臺北市中山區復興北路282號2樓,02-25069169、LINE ID:  @096jkbbo,掛號費300元,是,0,0,0,0,2025/11/14,25.058820119621,121.543910885949
臺北市,双悅診所,臺北市松山區南京東路五段163-1號,02-27609122,掛號費200元,否,0,0,0,0,2025/11/26,25.051655981248,121.56257998271
臺北市,李政洋身心診所,臺北市松山區三民路84號.健康路345號及民生東路5段192號2樓之3,02-27620086、02-27473339,掛號費600元,是,0,0,0,0,2025/11/24,25.058220981182,121.564261979221
臺北市,自體心理診所,臺北市大安區延吉街153-9號3樓,02-27754121,掛號費200元,否,0,0,0,0,2025/11/28,25.040043985955,121.555027971768
臺北市,宇寧身心診所,臺北市大安區復興南路二段6號3樓,02-27080706,掛號費400元,否,0,0,0,0,2025/11/14,25.030880009304,121.543783983935
臺北市,萬華身心精神科診所,臺北市萬華區和平西路三段142號1樓,02-23088878,無,否,0,0,0,0,2025/11/21,25.035159012785,121.498887995956
臺北市,伯特利身心診所,臺北市信義區光復南路421號2樓,02-27200938,掛號費600元,是,0,0,0,0,2025/11/17,25.036236003524,121.557726022581
臺北市,松德精神科診所,臺北市信義區松德路108號,02-87894477,無,否,0,0,0,0,2025/11/13,25.037703004218,121.574939015124
臺北市,天晴診所,臺北市士林區中山北路六段292號,02-28355329、02-28355396,掛號費300元,否,0,0,0,0,2025/11/13,25.110401010658,121.525675971771
臺北市,天母康健身心診所,臺北市士林區福華路157巷3號1樓,02-28378787,掛號費250元,否,0,0,0,0,2025/11/27,25.103634006858,121.521943007373
臺北市,自由想心理診所,臺北市士林區福華路122號2樓,02-28314837,無,否,0,0,0,0,2025/11/27,25.10258199419,121.522952020877
臺北市,石牌鄭身心醫學診所,臺北市北投區石牌路一段69號,02-28227660,掛號費：健保250元；自費850元,是,0,0,0,0,2025/11/21,25.113578003418,121.511015017289
臺北市,夏一新身心精神科診所,臺北市內湖區成功路三段143號4樓,02-87928214,掛號費300元,否,0,0,0,0,2025/11/26,25.07959299026,121.590029961239
臺北市,誠心身心醫學診所,臺北市文山區羅斯福路六段138號1樓,02-86631380,掛號費200元,否,0,0,0,0,2025/11/28,24.996547691988,121.540845121043
臺北市,心築身心診所,臺北市士林區劍潭路28、30號1樓,02-28856572,掛號費200元,否,0,0,0,0,2025/11/11,25.083751389127,121.522663371806
臺北市,士林身心醫學診所,臺北市士林區文林路410號,02-28812205,無,否,0,0,0,0,2025/11/24,25.094060993332,121.525003994594
臺北市,得心身醫學台北總診所,臺北市中山區復興北路60號3樓之2,02-27510089,掛號費300元,否,0,0,0,0,2025/11/25,25.050303980266,121.543762023348
臺北市,伯特利敦南身心診所,臺北市大安區和平東路三段1巷51號2樓,02-27010622,掛號費600元,否,0,0,0,0,2025/11/24,25.02660301748,121.546863998075
臺北市,抱抱心身醫學診所,臺北市內湖區文德路70、72號,02-87974422,掛號費600元,否,0,0,0,0,2025/12/01,25.078212993722,121.581415041155
臺北市,萬華維沐身心診所,臺北市萬華區西藏路113號1樓,02-23035690,掛號費350元(初診收，之後不用再掛號),否,0,0,0,0,尚未更新,25.029644013862,121.503095040798
臺北市,士林抱抱心身醫學診所,臺北市士林區中山北路五段476號7樓,02-28835477,掛號費600元,否,0,0,0,0,2025/12/01,25.092518387871,121.528504361179
臺北市,怡心診所,臺北市大安區大安路一段169巷7號,02-27070112,掛號費200元,否,0,0,0,0,2025/11/24,25.036898006237,121.546542887365
臺北市,暖心全人諮商中心心理諮商所,臺北市中正區羅斯福路二段198號6樓之5,02-23661099,無,是,0,0,0,0,2025/11/17,25.024807991006,121.523847040499
臺北市,昕心理諮商所,臺北市中正區羅斯福路二段56號7樓,0905-866222,無,否,0,0,0,0,2025/11/14,25.027737005161,121.521663973816
臺北市,暖心泉恩心理諮商所,臺北市中正區南昌路二段192號8樓之2,02-23651099,無,否,0,0,0,0,2025/11/17,25.024232615262,121.523840083519
臺北市,好窩心理諮商所,臺北市中正區和平西路一段17號3樓,02-23568846,無,是,0,0,0,0,2025/11/19,25.027033009113,121.521195006334
